SMILES;toxicant;SMR_VSA4;fr_pyridine;fr_lactam;EState_VSA6;EState_VSA7;fr_thiazole;PEOE_VSA9;fr_azo;fr_HOCCN;fr_Ndealkylation1;qed;fr_unbrch_alkane;PEOE_VSA8;fr_furan;fr_ArN;FpDensityMorgan2;fr_para_hydroxylation;EState_VSA3;MinAbsPartialCharge;GATS3se;ATSC8i;GATS4d;ATSC7c;GATS7d;ATSC4s;MATS3Z;MATS2i
CCCCC(CC)C(=O)O;1;5.917906046161393;0;0;0.0;6.923737199690624;0;5.917906046161393;0;0;0;0.6423719745530849;1;0.0;0;0;2.1;0;0.0;0.305976471817206;0.7288369219034182;6.184916143755678;1.0702284946236558;-0.0559830443703173;0.0;-13.822978303747536;0.0674802392651142;-0.1594732535624838
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1;1;5.41499046939678;0;0;11.009123009909723;45.03667987291831;0;12.145807216896262;0;0;0;0.92141338710529;0;5.022633313741326;0;0;1.8571428571428568;0;12.965578028838586;0.1372546105684288;1.1476069643020996;-8.177418824803484;0.6816456117759375;-0.0775800503744671;0.7247974068071313;-13.753776082657009;-0.2261745789122759;0.1913634598402815
CCCCN(CCCC)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2;1;0.0;0;0;17.419255042435033;25.98020853630447;0;0.0;0;0;0;0.5441258405220312;2;44.25541889249662;0;0;1.8846153846153848;1;11.49902366656781;0.425701920281289;1.2424024749118836;-10.950438811397934;1.2295376749425886;0.0845409176032705;1.05767385044935;4.445959186798327;-0.0449051229378004;0.1672537156917405
Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O;1;20.45700050251759;0;0;38.112942673227685;0.0;0;21.165739500402672;2;0;0;0.0426817193226967;0;22.14722097829672;0;2;0.8103448275862069;0;22.253805966787983;0.2964147777290074;0.8010402045413878;-17.970164026804092;1.0303056705891995;1.0896582474049898;1.392561672053725;-94.9732148619986;-0.1315920489104656;0.0364260152766375
CC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1ccccc1C3=O;1;5.733667477162185;0;0;19.056471336613843;0.0;0;29.4388021466389;0;0;0;0.3283465061048781;0;47.55811166471397;0;0;1.6944444444444444;0;0.0;0.1978961589605568;1.110498476726909;-27.042588155117368;1.013756295919782;-0.1307023907373675;1.157553682886045;-27.396967120181408;-0.0168789808917197;0.0256032242515209
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-];1;0.0;0;0;0.0;0.0;0;15.912989166096953;0;0;0;0.5150434173626992;0;11.629818560158606;0;0;1.7692307692307692;0;5.563451491696996;0.258305976280152;0.7324197471497582;0.0;0.9092350746268656;-0.0437367156158982;0.0;-51.07817790089258;-0.0764428980761359;-0.076528309256043
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1;1;23.671624184645573;0;0;0.0;6.923737199690624;0;6.103966387748303;0;0;0;0.7571556004572341;0;24.67745533817481;0;0;1.75;0;18.75954929201341;0.2263380554136591;0.9966136235326928;-18.3349677169324;1.1421343873517789;-0.4711923524179507;0.9729867674858224;24.38923442100834;-0.137240682137834;-0.0667121088819144
NC1CCCCC1;1;5.733667477162185;0;0;0.0;0.0;0;0.0;0;0;0;0.4860844589993981;0;6.041840829147961;0;0;1.5714285714285714;0;6.041840829147961;0.003877844068942;1.059256080836636;0.0;0.6647582697201017;0.0;0;-1.0277777777777786;-0.1479937467430953;-0.2285319849005795
CNC1C(OC2C(OC3C(O)C(O)C(N=C(N)N)C(O)C3N=C(N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O;1;32.91947937392008;0;0;0.0;0.0;0;18.75268918140918;0;0;1;0.0682447950849059;0;0.0;0;0;1.5;0;0.0;0.1877633440077838;1.0499809730072132;-9.804816766076474;1.107043593130779;-0.0637211730136936;1.2164817261118446;-15.40450693443003;-0.0108388702815711;0.0414798693839582
CC(=O)N1C=C(C2CCCCN2)CCC1;1;0.0;0;0;6.923737199690624;4.899909730850478;0;0.0;0;0;0;0.7104287198369739;0;25.710289324571608;0;0;2.333333333333333;0;6.041840829147961;0.2228848700671476;1.0946794211282622;-3.684157508086324;1.134176893471788;-0.0241513490483025;0.7341822000525068;-6.461133786848075;-0.0707288478141433;-0.0850917304880221
